,lon,lat,ele,sun,hum,pre,rai,N,cod
0,76.545,-5.45861111111,100,0,0,4,2,2,11010010
1,76.1419444444,-5.90833333333,1850,0,0,3,3,2,11020010
2,76.1833333333,-5.76666666667,1500,0,0,4,3,2,11020020
3,76.2508333333,-5.7575,715,0,0,4,2,2,11020050
4,76.0841666667,-5.87833333333,2100,1,1,3,3,4,11025010
5,76.6130555556,-5.36722222222,54,0,0,4,2,2,11030010
6,76.7280555556,-5.33416666667,50,0,0,4,2,2,11030030
7,76.7408333333,-5.48138888889,35,0,0,4,2,2,11030040
8,76.5758333333,-5.51472222222,90,0,1,4,2,3,11035010
9,76.7497222222,-5.62611111111,45,0,1,4,2,3,11035020
10,76.5377777778,-5.74361111111,54,0,0,8,2,2,11040010
11,76.6436111111,-5.69055555556,53,1,1,4,2,4,11045010
12,76.7269444444,-6.22166666667,20,0,0,4,2,2,11050010
13,76.78,-5.99472222222,25,0,0,4,2,2,11050020
14,76.8211111111,-6.1025,25,0,0,4,2,2,11050030
15,76.9155555556,-6.10833333333,100,0,0,4,3,2,11050060
16,76.7791666667,-6.42,18,0,0,4,6,2,11060010
17,76.75,-6.61666666667,22,0,0,4,3,2,11070010
18,76.2286111111,-6.33222222222,2050,0,0,3,3,2,11070020
19,76.1586111111,-6.53944444444,2150,0,0,3,3,2,11070030
20,76.0333333333,-6.13333333333,2320,0,0,3,3,2,11070130
21,76.1580555556,-6.35638888889,1850,5,1,7,3,4,11075010
22,76.1397222222,-6.32472222222,1850,1,1,7,3,4,11075020
23,76.8852777778,-6.55916666667,15,0,0,4,3,2,11080010
24,76.9833333333,-6.53333333333,20,2,0,4,0,2,11085010
25,76.9725,-6.8125,50,0,0,4,6,2,11090010
26,76.9166666667,-7.08333333333,25,0,0,10,6,2,11100010
27,77.0344444444,-7.17833333333,11,0,0,3,6,2,11100020
28,76.1336111111,-6.76333333333,1370,0,0,3,3,2,11110010
29,76.075,-6.6425,1920,0,0,6,3,2,11110020
30,76.2522222222,-6.85805555556,905,0,0,7,6,2,11110030
31,75.9775,-6.69944444444,2000,0,0,3,3,2,11110110
